Time Interval, Browse Path, Value Source, Data Type
"0","[default]Exchange/WaterPack/Demo/Filters/Filter1/State","0","Int32"
"32","[default]Exchange/WaterPack/Demo/Filters/Filter1/State","1","Int32"
"0","[default]Exchange/WaterPack/Demo/PeristalticPump/State","0","Int32"
"4","[default]Exchange/WaterPack/Demo/PeristalticPump/State","1","Int32"
"36","[default]Exchange/WaterPack/Demo/PeristalticPump/State","0","Int32"
"0","[default]Exchange/WaterPack/Demo/StandardPump/Flow","0.0","Double"
"10","[default]Exchange/WaterPack/Demo/StandardPump/Flow","random(98.0, 100.5, true)","Double"
"0","[default]Exchange/WaterPack/Demo/StandardPump/State","0.0","Double"
"10","[default]Exchange/WaterPack/Demo/StandardPump/State","1.0","Double"
"34","[default]Exchange/WaterPack/Demo/StandardPump/State","1.0","Double"
"0","[default]Exchange/WaterPack/Demo/StandardTank/Level","40.0","Double"
"10","[default]Exchange/WaterPack/Demo/StandardTank/Level","ramp(40.0, 120.0, 32.0, true)","Double"
"32","[default]Exchange/WaterPack/Demo/StandardTank/Level","120.0","Double"
"34","[default]Exchange/WaterPack/Demo/StandardTank/Level","ramp(120.0, 100.0, 60.0, true)","Double"
"46","[default]Exchange/WaterPack/Demo/StandardTank/Level","100.0","Double"
"60","[default]Exchange/WaterPack/Demo/VFDPump/","0.0","Double"
"0","[default]Exchange/WaterPack/Demo/VFDPump/State","0","Int32"
"30","[default]Exchange/WaterPack/Demo/VFDPump/State","1.0","Double"
"0","[default]Exchange/WaterPack/Demo/Valves/V1/State","0","Int32"
"4","[default]Exchange/WaterPack/Demo/Valves/V1/State","1.0","Double"
"0","[default]Exchange/WaterPack/Demo/Valves/V2/State","0.0","Double"
"4","[default]Exchange/WaterPack/Demo/Valves/V2/State","1.0","Double"
